,RegionID,RegionName,SizeRank,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
5,47,Pennsylvania,6,13.4334104436,13.7170907765,13.5877557484,14.4698159983,13.9849775487,13.6990960911,15.7445619688,14.5639878039,14.5226103553,15.6142461111,14.5638282906,14.2070849577,13.3159845531,13.1523513925,13.6781283117,14.1610565614,14.1386958349,15.0899391633,14.816771088,13.3415729269,13.5217861084,13.2734443475,13.223183245,14.4556447185,12.8607326877,12.5415486939,13.3418236322,13.4451050599,14.5146045082,14.2568095193,13.6516364857,13.5248117459,13.9818374871,13.0458589514,14.3439871095,15.3002731654,14.3025080683,15.4080750506,14.5047222738,14.1109860198,15.0063295268,13.620771705,14.1042113504,15.3170949246,15.9331642278,16.1555127175,17.1735294029,17.1145138595,16.6957734405,17.1550594829,15.9733416497,15.739860897,15.6693920687,15.0001406522,14.578649235,14.8714569227,15.9933064052,16.4796663435,16.9411470079,16.7031750459,16.6541486377,16.5622891019,15.4439341615,15.871022162,14.7916274439,16.1463346513,15.8057767524,15.0548943649,14.3289395664,15.1754276171,14.8602757745,16.3796947565,15.0673265128,13.8809597815,15.808218891,15.2484726364,15.4087599368,15.5673642906,14.6763592325,13.8508817575,14.9792492443,15.270914107,14.9085306535,16.6551501041,15.1513750935,15.0989885282,15.2135467818,14.7326577777,14.6325308688,15.1940801786
9,36,North Carolina,10,11.6796548503,11.3348897476,10.8342975098,11.7937838778,12.2252200119,12.3503398408,13.1166003678,12.2876386903,11.6939852983,12.2788135693,11.7952018743,10.9865478543,10.8173034222,10.3973031596,10.7224298227,10.8735478167,10.4849302702,10.9477735312,10.5679402101,9.93335408574,10.2244680559,10.7788436999,9.99343272946,10.7138372737,9.92169792844,9.9999870812,10.2355090686,10.2750807486,11.1719405845,10.7984451764,10.4084191695,10.3184496594,10.8101298917,10.3797420527,10.6949633027,12.0199669392,11.2008254969,11.7621088689,11.3971804933,11.4246738468,11.7600829263,11.557362321,11.5032293619,12.0917674503,12.4708594576,12.530188253,13.4829468216,12.9252824101,12.5356508371,12.4371629472,11.5934014943,11.7134176782,11.7971715369,10.6076549803,11.2788004804,10.1880085258,11.4783274173,11.4959208353,12.0459168128,12.3169392541,11.9471063718,11.353725149,11.2238334388,11.4120929153,10.4522561112,11.0614485345,10.6196795611,10.7372475598,9.94666994723,10.6619162382,10.6826758803,11.9418522323,10.6858106725,9.85430630154,11.3072792624,10.9020013057,10.4982104826,10.7426777647,10.4093667825,10.0749914002,10.5283585445,10.8742592036,10.9101657682,12.1206574443,10.7112397808,12.2450934275,11.9559317775,10.9261053511,11.0329133502,11.4951650918
11,56,Virginia,12,12.9724512002,12.7952598372,13.5015989198,14.2996141662,14.8788636633,14.5982296885,14.7740215467,13.4743134525,11.8393702406,12.6934182896,12.3305487289,11.3134887441,11.4909891485,11.5110960618,11.9400694804,12.8094079599,12.2709147161,13.0339306276,11.8749420292,11.381506762,11.1719777406,10.7930072808,10.48743697,11.3643772027,10.4651100653,9.86717764936,11.4640505593,11.5775728254,12.4995119135,12.4366990121,11.8230253306,10.7853368222,11.5912109849,11.0832587313,11.8611717849,12.9771483223,12.2032644927,13.283473906,13.005926646,13.2137518159,12.9095371862,12.7721068521,12.3358291312,13.2289639353,14.8244877636,14.698116887,15.4078153145,15.8799081686,14.9314889386,15.5251680439,14.0711161545,13.8184163684,14.3272996619,13.3602630327,13.4910129479,13.8543681861,14.8210440246,15.0767328399,15.3435930082,15.5846036811,15.1142381686,14.9579709684,14.3504051075,14.368028692,13.462000658,12.9577847173,14.20689866,14.726960188,13.6839285895,15.1154072994,14.537137475,15.6505913276,14.5234622766,13.5871086975,14.2533455629,13.6948039703,13.4506561623,14.2020873878,14.0977490234,13.4496148414,14.5470689155,14.9004912281,14.3668710845,15.6972985333,14.6930165672,14.8593588926,13.7926978127,12.7017049532,13.1006220753,13.804763169
12,59,Washington,13,14.7902431824,14.0232976682,13.8074595163,15.3361723445,15.99044319,15.33534904,16.4682107012,16.2859727257,15.5808791444,16.1990035418,14.9694138763,13.9346880442,13.4387367347,13.4660660394,13.1164741771,13.2210376495,12.8570609777,13.5118931697,12.0466726594,11.3007254437,11.6274090504,10.8787025565,10.2799780377,10.7103978393,9.27486868344,9.16916184065,9.3101028465,10.0243243924,10.2106561667,10.5029351305,10.449220728,9.94032197932,10.91076979,10.1979022912,10.7893139341,12.1075300132,11.1012997269,12.1646115056,11.6591851918,11.6723925569,13.1113629796,12.1056877986,11.7704733075,12.2318229836,11.4023090757,12.247926316,12.5555125868,13.6539186931,12.5697906926,12.8219581803,11.616852787,11.331539559,12.1252219324,11.5304958065,11.0381125656,10.2604173407,10.96417016,10.4488249725,11.2706176107,11.4536361474,10.9065969236,10.600946923,10.3246844868,9.77945318787,9.21429846117,9.56338369641,8.77429671939,8.83665422121,8.95920836832,9.63437532075,10.050281472,11.3706943892,9.43180756565,7.8108224847,10.0805015052,9.28004030712,8.17672089906,7.90080543457,7.37145879573,6.89765100541,8.02406319207,8.74191189695,8.7069364381,11.0346958593,9.76377191415,10.6782766605,10.2779099487,9.18403156957,8.74803689913,8.66677684476
13,26,Massachusetts,14,14.856721596,14.1527089752,13.7274298393,15.5569626625,15.0001534482,15.2110418591,17.8908187208,17.4094923891,17.5354171364,18.5072989231,16.2575064602,15.7895557206,15.1372820126,14.7223444876,14.1842349373,14.8104411574,15.2057477456,16.3565450222,15.2589278639,14.9320829869,14.4571944524,13.3777856428,13.0481016879,13.9051295004,12.5776538345,11.3957047029,12.7471343833,12.4442237752,13.6688570731,12.6470703393,11.917920492,12.0391256303,12.9558746428,12.2607094991,13.8677391253,14.6279261049,13.8545705073,14.5475207151,14.1580739672,13.9664732287,14.0125732498,13.4059072018,13.4518937398,13.6188524014,14.658104467,14.9144684553,15.7963391913,16.2914071171,16.6259090237,15.4576275428,13.7334721283,13.5757550633,13.7983965651,11.5119447259,11.9385549678,12.7365806755,13.3672693173,13.5719547915,14.5033800167,15.077940817,14.4102892222,14.9730474911,14.2899123079,14.3884606568,13.7937321996,14.3520262821,13.4544396154,12.1966064126,11.4209761016,12.3724510878,12.4894914948,13.8704829079,10.7174466171,12.7143575039,14.2511825004,13.6885981791,14.4145156125,13.3223300546,12.3238221972,11.120702514,12.1182148686,12.3748596822,13.2104249588,14.4633998236,13.8392213179,13.6933662727,14.202823891,12.7373618006,12.8851385434,13.652539699
14,22,Indiana,15,11.8510917415,11.5164315991,11.424604545,13.3743326735,13.6616503313,12.0633378066,14.0951776332,13.5083930931,13.2412669733,14.2742412259,12.9315051767,12.9058937071,11.7068461228,11.9449421421,12.2068332951,13.3600735746,12.5496657198,13.9214562321,13.9355458905,12.8402658738,13.7043373389,13.0233764433,13.3509555558,12.9932177406,11.78686609,11.9895511367,12.0963888569,12.46160865,13.7242735884,13.2925656031,13.1684264352,12.6950417474,12.8569186546,12.4751284139,13.4011066556,14.3891354194,13.6250693858,14.2974468323,14.1052849762,14.1565071562,13.2224948739,13.5174888804,13.3964297348,14.3346586857,14.5838010308,14.3736412043,15.1857650256,16.1432589415,15.4548112667,15.3139961944,14.6069090666,14.3925120018,14.2401504999,13.9244209704,14.1444030507,14.044357028,14.5722524393,15.0789014914,15.5363606111,15.2201195673,15.4615144426,15.5132105836,14.1658883171,14.0635944037,13.5655781106,14.6752394729,13.9048138812,12.8704907854,12.482102065,13.5858016002,13.7890495587,15.2887875728,14.4003617605,13.455494296,15.547082648,14.2883180737,14.7451234272,14.9756278391,13.8418608133,13.7989335482,14.5955634409,14.6595152121,14.5846209919,15.9936172265,15.2853810271,15.5903263423,15.5178683276,13.8279417594,14.4807833804,13.9417491858
16,53,Tennessee,17,12.9588879016,13.0042229623,11.8988081187,12.5694171731,12.0704716238,12.1461604372,12.9390461717,12.6317126629,11.9454444758,12.7835960376,11.8495906517,11.895669958,11.175800808,10.6337926327,10.6046507822,11.5674307686,11.5060942187,11.8611391072,11.7362643836,11.0726121688,11.9747592921,11.3366560769,11.1768283706,11.9292612608,11.0715774872,10.3331790269,11.1298968727,11.0425043117,11.9937795552,11.7585769337,11.1552789977,11.2262262959,11.5783808135,11.316630727,11.6450898154,12.3518292578,11.3902547836,12.4414952332,11.871155776,11.6328566142,11.8432077423,11.5063617096,11.4488042907,12.106494956,12.3230249392,12.388291246,13.1503122562,13.2688716108,11.9291342644,12.6987971558,11.7438888014,11.7992066749,11.7586266064,10.5108215718,11.2679361791,10.0475930188,11.132135292,11.6258207395,11.8972977532,11.9446957208,12.1944047218,11.3777142911,11.5059485802,11.7275673663,11.0533928953,11.7417926484,11.6012221321,11.048511925,10.3744479072,10.5359531844,10.6922251944,11.8726761653,11.1950916321,9.85868063792,11.4823042446,11.1326657201,11.1006191683,11.4739459437,10.7859888037,10.9204447739,11.4959576916,11.8920528503,11.8506041381,13.2266069558,11.3290766279,12.8640588389,12.9429987133,11.8286405659,12.091414368,12.6474673301
18,27,Maryland,19,15.4885745871,14.621987453,14.9324880621,16.6051109079,16.3907525387,16.2792334837,17.4670481239,15.0414700716,15.0724035101,15.0767353582,14.1396814084,13.5669525509,12.653892865,12.9107701177,13.5107484774,13.5246652631,13.5080799911,13.867001683,13.5727537216,12.3491664929,12.2116183308,12.1320615999,10.9817163925,12.5873483742,11.2476271258,10.3206115611,12.3224757615,12.0825034775,12.3112055755,12.7339108323,12.5219282382,12.111343502,12.1540731268,12.2308394488,12.9317999942,13.9845634451,13.3400939326,14.4951450625,14.933781534,14.1629888908,14.884532777,14.4047919949,13.5960411762,16.4893354928,16.376270058,16.6057893699,17.685705438,18.2711104132,17.050050537,17.8627127018,16.927947329,16.9848224587,16.837591987,15.8309396382,15.4950656818,15.7828311379,16.7905726264,16.951767306,17.7005012686,17.9852669472,17.7691932992,17.9217912611,17.0154228201,16.9707240229,16.0612004385,16.7275837646,16.7828386509,16.1432935044,15.3379102821,16.2918330019,16.6676785091,17.3414527252,16.1291193258,15.5237542816,16.0542306298,15.291439478,15.7910349267,16.0823095311,15.4797970046,14.9609739555,16.8177534629,16.994855263,17.154518185,17.9281177442,16.8562031,16.8557221081,14.7931402316,14.9996700891,14.8418375086,15.8634602392
21,10,Colorado,22,15.2849173692,15.0004037497,14.7316342002,15.1059572391,15.6550777753,15.0728477714,16.4507913846,16.2888603536,15.0264298663,15.0230624319,13.7548298935,12.2165881467,11.2199672508,11.5912043893,11.6165812798,12.3538479874,12.4858259197,12.3537231939,11.5144781376,11.6729162824,11.4847916437,11.2250177728,10.2275941355,10.7289503138,9.75560262765,9.91106117231,11.2886374926,11.3616094417,12.2460445687,11.9447051312,10.8567312178,10.3472201576,11.7441623777,11.4239304404,12.0327357182,13.3016011657,12.2652415766,13.4376062506,13.4181166092,12.4240480225,13.1444400422,12.874487903,12.3356054789,12.3448671922,12.1184711819,11.8803614557,12.8695250632,13.4870140125,11.8129323819,12.0538043564,10.9870451042,11.4302632915,11.5953867539,11.0837699372,11.02964639,9.41282695264,9.13471485639,9.17605078064,10.4126340791,11.4758990367,11.303480852,12.0517757215,10.4232471832,10.9486360378,10.0247478556,10.5580369347,10.0272214865,9.50742568247,9.62035086174,10.6369586879,10.2595938402,11.5825951042,9.4037171987,7.75174212976,10.8681203478,10.4110814269,9.58237238014,10.3957536749,10.1562061879,9.59662634212,11.2089391888,12.864336865,13.7360485911,15.3490712526,14.6960650363,13.5538929274,11.6276788287,10.7547750129,10.209074797,10.4397403424
23,51,South Carolina,24,11.8339598354,11.1253888487,11.3309783626,12.2508097921,11.6493243745,11.5841513766,12.083707405,11.7028831033,10.9855922167,11.694815113,11.5160054759,11.1696802918,10.7091697391,10.4805943851,10.7099252708,10.5905052726,10.4117955556,11.1133797499,10.6447475492,10.4431559316,11.0442865479,11.0235691056,10.4199317973,11.3631841874,10.0215780225,10.071608384,10.4354607041,10.7826040904,11.4655146123,10.9048386703,11.1499128538,10.7368656907,10.6401192386,10.6196809959,10.6316873546,11.5946116424,11.2852647764,11.8524161037,11.8015026267,11.6277735877,11.7889002949,11.69728522,11.7459016686,12.3206625279,12.5132784291,11.8172538364,12.9563813187,12.8582107514,12.2994572964,12.6343745984,11.6120962425,12.0479521512,12.1080167805,11.0996875809,11.5037621724,10.8311728137,12.1832428534,12.3482317825,12.2710776056,12.4433231128,11.9586347929,11.9419368973,11.3188491897,12.2484759572,12.1230376961,11.7769807574,11.9605860248,11.7827660329,11.1476231364,12.451265437,12.3214422343,13.4423663684,12.6833717394,11.0806946177,12.9190939936,11.9919176164,11.7682688445,12.2717043484,12.5617955167,12.0311021575,12.7551957203,12.7329128275,12.8173624681,13.647001166,12.248493787,13.9868139742,13.17982009,12.0265172994,12.561861225,13.2825604905
24,25,Louisiana,25,10.8589125976,10.3442389025,10.8363634105,12.2161007885,11.2481857217,11.1944993462,10.9240267713,10.9937676953,9.67537352576,10.8884237401,10.1166125701,10.5109768502,10.236747593,9.71460838927,9.98741564854,10.9524631914,9.8694521738,10.035774392,10.1124212146,9.39107794864,10.6650587255,10.7899282712,10.5595786381,10.6239472323,9.6407300664,10.4859340382,10.800111587,10.6256314897,10.3099690388,11.0756079441,10.7900257475,11.1800772906,11.301398316,11.0090269749,11.4446682104,12.283399672,11.6042851678,12.6109550594,11.124134526,11.9121263923,12.2289891823,11.8661055605,11.7878681436,11.6984118169,12.3615214242,11.599398089,12.8298502476,13.47563174,12.573577816,12.4719803218,12.0127582818,12.2763460569,12.0509814619,12.1862894987,12.2570698032,11.7170950486,11.9230840771,11.7579160047,12.2381151473,12.5327757069,12.5738260312,13.278217565,12.2138656709,12.4429455422,12.7252913257,12.395338316,12.5300282511,13.2354560059,12.7872852167,13.074372258,12.3133802599,12.201073695,11.487933198,10.310083185,13.4566027745,12.9189768269,14.1923748104,13.4608318206,14.8923062588,13.9104574517,14.8906959508,15.4854128736,15.8704822629,16.8780299918,16.6232883825,16.9050209278,16.2115309912,13.971838991,15.8240052368,16.4752281575
25,24,Kentucky,26,12.4804434533,11.9683511168,11.7179813079,12.2263375159,12.5461350189,12.8708523714,13.5483602036,13.5576213846,11.9067862478,13.4523111857,13.1405875267,12.5284256156,11.6944716693,11.0889771808,11.7677977656,12.1153759952,11.8264224889,12.3078427498,11.8570905924,11.3987774392,11.8848163114,11.6873037077,11.447392521,12.41349526,11.2481535856,11.242960459,10.9932556753,11.6487970755,12.8434715492,12.7981021057,12.3439289504,12.1049914124,13.2963772043,12.29384343,12.225918941,13.4742333519,12.5580879354,13.053891261,13.3782921728,12.7792844875,12.6395863418,12.1271369697,12.5405771159,13.3328054653,13.8354436344,13.593026792,14.6586478571,15.1964656148,14.2201299737,14.7080101227,12.7695963677,13.3113527947,13.7488119623,12.5654351108,12.0604930558,11.9755260104,13.0027064555,12.9781124732,13.516653777,13.014658544,13.0250474617,13.1256602147,12.3690669945,12.7702520109,11.2748061103,12.0318948038,11.7263543369,11.1248210076,10.439096432,11.7713946805,11.3798430007,12.7342434309,11.9262213767,10.7998060865,13.194016817,12.3505300307,12.8668226672,12.8128075323,12.3940483518,11.4741912967,12.1522833553,12.0466593237,12.1803123752,13.5064946012,12.5912106247,13.7014588379,13.4444608898,12.5237091092,12.5080247741,13.0030233138
26,46,Oregon,27,14.7446439865,14.7308501869,14.9892252645,16.7280033549,17.1383819641,15.9951408515,16.5380185433,15.9426367365,15.3806672386,15.6275869871,14.2518604771,14.0067049069,12.635046856,12.6064907667,12.7718478936,13.5198910755,13.0875855957,13.7515365727,12.4069860572,11.6204294967,12.2650710904,11.8627136324,10.4991702009,11.5590973704,10.0826439516,10.1485950873,10.7673199721,10.9706022055,11.5323407532,11.5199577345,10.9532483533,11.0178158191,11.4931508369,11.2031659888,12.129920375,12.9615258887,11.4030649835,12.5680408521,11.7033960342,11.2602613107,12.3392571797,11.8991446986,12.2763183311,13.1158487925,12.3996053055,12.9458533961,14.24100162,14.7024626146,13.814222895,13.6455400421,12.6393261598,12.7653012802,12.8608205312,12.1015556248,12.4492345922,10.7074157077,10.6133616202,10.9351691061,10.8869955053,11.551091476,11.5921577569,11.2121076891,10.8247524273,11.1514324833,10.3790426104,10.8944036876,9.86465584002,9.94216947582,10.3195801234,10.805998264,10.7120423639,11.7865906728,11.0550454014,10.1234183107,11.306995026,10.6353704106,9.77491001719,10.3040250973,9.8196199325,9.84026489989,11.3786584699,12.3689345568,12.5570934499,14.2823483428,13.714298352,13.7513934867,13.5288898514,11.4516840078,12.0985183249,12.1004559767
